session_id,event_name,timestamp,cohort
SYN-S0001,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0002,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0003,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0004,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0005,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0006,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0007,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0008,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0009,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0010,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0011,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0012,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0013,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0014,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0015,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0016,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0017,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0018,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0019,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0020,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0021,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0022,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0023,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0024,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0025,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0026,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0027,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0028,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0029,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0030,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0031,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0032,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0033,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0034,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0035,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0036,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0037,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0038,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0039,landing_session,2026-08-01T09:00:00,August synthetic sessions
SYN-S0040,landing_session,2026-08-01T09:00:00,August synthetic sessions
